,title,subtitles,link
0,SAUDI SWOOP,Chelsea could make stunning move for Benzema or Firmino to solve striker crisis,https://www.thesun.co.uk/sport/25361251/chelsea-transfer-benzema-firmino/
1,ON AND OFF,Onana's Afcon plan thwarted as Man Utd ace FAILS to make squad after plane drama,https://www.thesun.co.uk/sport/25362041/andre-onana-private-jet-cameroon-afcon-man-utd/
2,,Joelinton breaks silence after getting alert thieves were lurking in home,https://www.thesun.co.uk/sport/25364520/joelinton-breaks-silence-burglar-home-alert/
3,,Newcastle's loan move for Man City midfielder Phillips OFF due to FFP,https://www.thesun.co.uk/sport/25369203/newcastle-transfer-news-kalvin-phillips/
4,HOT WHEELS,"Win a VW Tiguan R or £30,000 cash alternative from just 89p with our discount",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
5,GEOR DROPPING,Georgina Rodriguez shows off curves as she gets in Valentine's Day mood early,https://www.thesun.co.uk/sport/25365655/georgina-rodriguez-curves-dress-cristiano-ronaldo-wag/
6,MAIN MAN-E,Sadio Mane sets up goal in first Afcon match since marrying 18-year-old partner,https://www.thesun.co.uk/sport/25367307/sadio-mane-senegal-gambia-assist-african-cup-of-nations/
7,SOUND OFF,Sky Sports forced to apologise after Afcon broadcast interrupted,https://www.thesun.co.uk/sport/25367568/sky-sports-apologise-afcon-coverage/
8,AMERICAN DREAM,Jesse Lingard's new agents offer ex-Man Utd ace to MLS club Portland Timbers,https://www.thesun.co.uk/sport/25370001/jesse-lingard-portland-timbers-man-utd-nottingham-forest/
9,WELCOME OFFER,The Sun Play is BACK! Sign up now for the chance to win 500 free spins,https://www.thesun.co.uk/sport/24718401/sun-play-welcome-offer/
10,FOOD FOR THOUGHT,Ten Hag enjoys candle lit dinner with agent Kees Vos following Spurs draw,https://www.thesun.co.uk/sport/25361554/ten-hag-kees-vos-man-utd-tottenham-ratcliffe/
11,,"Mock Arteta all you want, but Salt Bae dinner could be gamechanger for Arsenal",https://www.thesun.co.uk/sport/25365491/mikel-arteta-arsenal-salt-bae-turning-point/
12,BLUE HOPE,Chelsea handed Nkunku boost after fears injury could have harmed transfer plans,https://www.thesun.co.uk/sport/25366380/chelsea-christopher-nkunku-injury-news/
13,ANSWER THE CALL,I rejected a message as spam.. but it was a call-up and now I'm at Afcon,https://www.thesun.co.uk/sport/25369429/roberto-lopes-cape-verde-shamrock-rovers-linkedin-afcon/
14,ROL UP,"Win a stunning Rolex or £20,000 cash alternative from 89p with our discount code",https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
15,HOW RASH,Marcus Rashford responds after Roy Keane slammed goal celebration against Spurs,https://www.thesun.co.uk/sport/25362042/roy-keane-man-utd-marcus-rashford-celebration/
16,,Gary Neville congratulates Jude Bellingham for SNUBBING Man Utd transfer,https://www.thesun.co.uk/sport/25359508/man-utd-jude-bellingham-transfer-snub-gary-neville-congratulations/
17,NO KANE DO,Harry Kane has 'no room' for Eric Dier at stunning £30m German mansion,https://www.thesun.co.uk/sport/25365298/harry-kane-eric-dier-bayern-munich-house/
18,LOVE TANGLE,Lauryn Goodman said she was 'ready to finish' Walker's marriage before 2nd baby,https://www.thesun.co.uk/sport/25358058/lauryn-goodman-kyle-walker-marriage-texts/
19,GOOD GRIEF,Lauryn Goodman falls out with reality star ‘best friend’ in new feud,https://www.thesun.co.uk/sport/25365913/lauryn-goodman-falls-out-best-friend-lauren-goodger/
20,FOOTIE TRAGEDY,"Tributes to Stevenage fan, 19, killed in car crash on way home from game",https://www.thesun.co.uk/sport/25369536/stevenage-fan-killed-car-crash-ollie-gatfield/
21,'NEEDLESS',Ex-referee wants controversial rule scrapped before more Prem players get hurt,https://www.thesun.co.uk/sport/25369153/mark-halsey-referee-premier-league-offside-rule-var/
22,CASE CLOSED,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/
23,LEHMANN'S TERMS,Alisha Lehmann goes braless in Instagram pic as fans call her the 'GOAT',https://www.thesun.co.uk/sport/25359970/alisha-lehmann-braless-picture-instagram-fans-react/
24,ED ENOUGH,Newcastle's secret note that reveals how the Man City game was lost,https://www.thesun.co.uk/sport/25367102/newcastles-eddie-howe-secret-note-guimaraes-lascelles/
25,,Fans say 'there's something wrong' as Rudiger squeezes another player's nipple,https://www.thesun.co.uk/sport/25362852/anotonio-rudiger-luka-modric-nipple-real-madrid/
26,NOW YOU SEE,"Fergie signed me for Man U without watching me play, now I'm starring at Afcon",https://www.thesun.co.uk/sport/25363086/bebe-manchester-unite-cape-verde-afcon/
27,,Reading crisis deepens as club 'sell fan-favourite without telling manager',https://www.thesun.co.uk/sport/25367576/reading-transfer-holmes-sale-manager-not-informed-protests/
28,,"Amadou Onana 'open' to move, Borja Mayoral responds to Gunners interest",https://www.thesun.co.uk/sport/25186901/arsenal-transfer-news-live-onana-mayoral-ivan-toney/
29,,"Michael Olise 'talks', Hannibal to Sevilla TWIST, United 'chase Joao Neves'",https://www.thesun.co.uk/sport/25191142/man-utd-transfer-news-live-hannibal-ratcliffe-joao-neves/
30,,Henderson could STAY with Al-Ettifaq who have 'no interest in doing business',https://www.thesun.co.uk/sport/25368915/jordan-henderson-forced-stay-al-ettifaq-loan-deal-off/
31,MAG-PIED,Five stars Newcastle could cash in on to buy in January including Guimaraes,https://www.thesun.co.uk/sport/25364714/newcastle-cash-in-guimaraes-miley-longstaff-isak-botman/
32,SUPER ZUB,Arsenal told £50m target is 'perfect midfielder' as Arteta is urged to sign him,https://www.thesun.co.uk/sport/25364749/arsenal-transfer-martin-zubimendi-arteta-luiz-onana/
33,,Man Utd legend Neville hopes 'brilliant' star snubs Arsenal and Chelsea transfer,https://www.thesun.co.uk/sport/25365198/man-utd-neville-toney-snub-arsenal-chelsea-transfer/
34,CLIFFE HANGER,Late twist in Mejbri loan as Ratcliffe 'insists on last-gasp change to deal',https://www.thesun.co.uk/sport/25362094/hannibal-mejbri-spain-sevilla-transfer-man-utd/
35,VERY KEAN,Kean 'lined up for career-saving move after falling out of favour at Juventus',https://www.thesun.co.uk/sport/25365850/moise-kean-everton-career-saving-transfer-juventus/
36,,Man Utd 'hold talks over Olise transfer with star swap offer to Palace',https://www.thesun.co.uk/sport/25362911/man-utd-olise-transfer-crystal-palace-wan-bissaka-swap/
37,WIZARD OF OZ,Palace set to pull off shock deal for Munoz as they eye January triple swoop,https://www.thesun.co.uk/sport/25352853/crystal-palace-daniel-munoz-transfer-kalvin-phillips/
38,KELL OF A MOVE,Liverpool targeting Championship keeper amid fears Kelleher could leave,https://www.thesun.co.uk/sport/25355335/patterson-transfer-championship-liverpool-kelleher/
39,No se encontró el título,No se encontró el subtítulo,No se encontró el enlace
40,SHEAR CLASS,Alan Shearer's glamorous daughter Hollie shows off her toned tummy in crop top,https://www.thesun.co.uk/sport/25362841/alan-shearer-daughter-hollie-abs-outfit/
41,'IT'S CRAZY',My footballer husband slept with 200 women before me - he had four phones,https://www.thesun.co.uk/sport/25364017/wanda-nara-mauro-icardi-slept-with-200-women/
42,SVEN'S DREAM,Sven Goran-Eriksson ready to accept Liverpool role after fans' petition,https://www.thesun.co.uk/sport/25364544/sven-goran-eriksson-liverpool-ajax-charity-game/
